Name,Ate,Repo,Max_Force,Accel,Max_Health
104,1,0,[0.92783087 0.92783087],-2.4420803214671483,103.74916868453202
49,2,4,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
98,1,1,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
110,0,0,[0.07047391 0.07047391],2.098401956140321,84.48055827399673
107,0,0,[-0.69946153 -0.69946153],-0.38403092874529454,93.08557939018993
108,0,0,[-1.12094619 -1.12094619],3.2364090932621865,89.56845832089583
64,4,4,[1.03590797 1.03590797],-0.7887066620251679,89.06999899063977
60,3,2,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
101,0,1,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
105,8,0,[1.03590797 1.03590797],-0.7887066620251679,89.06999899063977
109,4,0,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
112,0,1,[0.69308672 0.69308672],2.0691652866832966,106.50243636871045
113,5,0,[-0.70157428 -0.70157428],-0.6529461020954912,90.81313748593095
100,5,1,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
106,3,1,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
102,3,3,[0.69308672 0.69308672],2.0691652866832966,106.50243636871045
117,1,0,[-0.06974554 -0.06974554],0.8664570933684637,97.46823576256591
111,9,0,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
115,7,0,[0.69308672 0.69308672],2.0691652866832966,106.50243636871045
120,0,0,[0.78715285 0.78715285],1.6256178673308437,95.50339999050817
87,5,3,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
103,2,3,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
124,5,0,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
123,2,0,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
122,6,0,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
128,4,0,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
